[INFO][Friday, 30 Mar 2018 06:04:23 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 324
[ERROR][Friday, 30 Mar 2018 06:04:59 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:59 GMT] FILE [60] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/internetexplorer-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:59 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:59 GMT] FILE [61] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/internetexplorer-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:00 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:00 GMT] FILE [62] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/invision-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:00 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:00 GMT] FILE [63] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/invision-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:01 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:01 GMT] FILE [64] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/linkedin-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:01 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:01 GMT] FILE [65] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/linkedin-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:02 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:02 GMT] FILE [66] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/magento-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:02 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:02 GMT] FILE [67] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/magento-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:03 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:03 GMT] FILE [68] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/medium-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:03 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:03 GMT] FILE [69] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/medium-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:04 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:04 GMT] FILE [70] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/messenger-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:04 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:04 GMT] FILE [71] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/messenger-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:05 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:05 GMT] FILE [72] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/opera-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:05 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:05 GMT] FILE [73] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/opera-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:06 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:06 GMT] FILE [74] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/paypal-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:06 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:06 GMT] FILE [75] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/paypal-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:07 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:07 GMT] FILE [76] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/periscope-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:07 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:07 GMT] FILE [77] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/periscope-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:08 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:08 GMT] FILE [78] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/photoshop-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:08 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:08 GMT] FILE [79] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/photoshop-color.svg
[ERROR][Friday, 30 Mar 2018 06:05:09 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:05:09 GMT] FILE [80] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/pinterest-black.svg
[ERROR][Friday, 30 Mar 2018 06:05:09 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
